标签名,位置A行号,位置A路径,位置B行号,位置B路径,后代数A,后代数B,重叠度
剧装,7908,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/剧装,10974,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/剧装,2,2,1.0
服装,7923,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/服装,10989,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/服装,2,2,1.0
男式睡衣上衣,7930,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/男式睡衣上衣,10996,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/男式睡衣上衣,2,2,1.0
商务西装,7942,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/一套衣服/商务西装,11008,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/一套衣服/商务西装,2,2,1.0
女内衣,7953,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内衣/女内衣,11019,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/内衣/女内衣,2,2,1.0
毛皮大衣,8013,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套/毛皮大衣,11079,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/外套/毛皮大衣,2,2,1.0
紧身裤袜,8181,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/鞋子/袜类/紧身裤袜,11247,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/鞋子/袜类/紧身裤袜,2,2,1.0
垂挂织物,8584,V2融合世界标签体系/通用分类标签/人造物体/家具/垂挂织物,10799,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/屏幕/垂挂织物,2,2,1.0
花瓶/瓶,8753,V2融合世界标签体系/通用分类标签/人造物体/容器/器皿/花瓶/瓶,8917,V2融合世界标签体系/通用分类标签/人造物体/容器/花瓶/瓶,2,2,1.0
游泳池,9247,V2融合世界标签体系/通用分类标签/人造物体/挖掘/池/游泳池,10704,V2融合世界标签体系/通用分类标签/人造物体/装置/体育设备/游泳池,2,2,1.0
窗台,9385,V2融合世界标签体系/通用分类标签/人造物体/支持/结构构件/窗台,9386,V2融合世界标签体系/通用分类标签/人造物体/支持/结构构件/窗台,2,2,1.0
卷绕器,9508,V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/卷绕器,9512,V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/卷绕器,2,2,1.0
水轮,9547,V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/机器/车轮/水轮,9550,V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/机器/车轮/水轮,2,2,1.0
点式打印机,9643,V2融合世界标签体系/通用分类标签/人造物体/机器/印刷机/打印机/点式打印机,10365,V2融合世界标签体系/通用分类标签/人造物体/电子设备/外围设备/打印机/点式打印机,2,2,1.0
台球,9965,V2融合世界标签体系/通用分类标签/人造物体/游戏器材/球/台球,9967,V2融合世界标签体系/通用分类标签/人造物体/游戏器材/球/台球,2,2,1.0
小键盘,10371,V2融合世界标签体系/通用分类标签/人造物体/电子设备/外围设备/数据输入装置/小键盘,11616,V2融合世界标签体系/通用分类标签/人造物体/键盘/小键盘,2,2,1.0
监控器,10405,V2融合世界标签体系/通用分类标签/人造物体/电子设备/监控器,10407,V2融合世界标签体系/通用分类标签/人造物体/电子设备/监控器,2,2,1.0
桌面,10637,V2融合世界标签体系/通用分类标签/人造物体/表面/工作台面/桌面,10646,V2融合世界标签体系/通用分类标签/人造物体/表面/桌面,2,2,1.0
地垫,11264,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/地板蒙布/地垫,11265,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/地板蒙布/地垫,2,2,1.0
树蛙,11711,V2融合世界标签体系/通用分类标签/动物/两栖动物/树蛙,11714,V2融合世界标签体系/通用分类标签/动物/两栖动物/树蛙,2,2,1.0
树蛙,11711,V2融合世界标签体系/通用分类标签/动物/两栖动物/树蛙,11715,V2融合世界标签体系/通用分类标签/动物/两栖动物/树蛙,2,2,1.0
树蛙,11714,V2融合世界标签体系/通用分类标签/动物/两栖动物/树蛙,11715,V2融合世界标签体系/通用分类标签/动物/两栖动物/树蛙,2,2,1.0
宽吻海豚,12497,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/水栖哺乳动物/鲸目动物/鲸/齿鲸/海豚/宽吻海豚,12500,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/水栖哺乳动物/鲸目动物/鲸/齿鲸/海豚/宽吻海豚,2,2,1.0
绿蛇,13756,V2融合世界标签体系/通用分类标签/动物/爬行动物/蛇类/游蛇科蛇/绿蛇,13759,V2融合世界标签体系/通用分类标签/动物/爬行动物/蛇类/游蛇科蛇/绿蛇,2,2,1.0
小鸡,14058,V2融合世界标签体系/通用分类标签/动物/鸟类/家禽/原鸡/小鸡,14059,V2融合世界标签体系/通用分类标签/动物/鸟类/家禽/原鸡/小鸡,2,2,1.0
角鸮,14289,V2融合世界标签体系/通用分类标签/动物/鸟类/猛禽/夜鸟/角鸮,14291,V2融合世界标签体系/通用分类标签/动物/鸟类/猛禽/夜鸟/角鸮,2,2,1.0
山雀,14376,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/山雀/山雀,14377,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/山雀/山雀,2,2,1.0
崖沙燕,14418,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/燕子/崖沙燕,14421,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/燕子/崖沙燕,2,2,1.0
百灵,14423,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/百灵,14425,V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/百灵,2,2,1.0
凤头鹦鹉,14995,V2融合世界标签体系/通用分类标签/动物/鸟类/鹦鹉/凤头鹦鹉,14998,V2融合世界标签体系/通用分类标签/动物/鸟类/鹦鹉/凤头鹦鹉,2,2,1.0
联排住宅,17431,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/联排住宅,17505,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/联排住宅,2,2,1.0
书信,19493,V2融合世界标签体系/通用分类标签/文字与信息图形/书信,19503,V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/原文/书信,2,2,1.0
交通标志,19858,V2融合世界标签体系/通用分类标签/文字与信息图形/标志/交通标志,19871,V2融合世界标签体系/通用分类标签/文字与信息图形/标志/道路标志/交通标志,2,2,1.0
公告,19994,V2融合世界标签体系/通用分类标签/文字与信息图形/陈述/公告,19995,V2融合世界标签体系/通用分类标签/文字与信息图形/陈述/公告,2,2,1.0
蜀葵,20664,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/锦葵/蜀葵,20666,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/锦葵/蜀葵,2,2,1.0
桶形仙人掌,21539,V2融合世界标签体系/通用分类标签/植物/多肉/仙人掌/桶形仙人掌,21540,V2融合世界标签体系/通用分类标签/植物/多肉/仙人掌/桶形仙人掌,2,2,1.0
火烧兰,21657,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/兰科植物/火烧兰,21658,V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/兰科植物/火烧兰,2,2,1.0
繁缕,22550,V2融合世界标签体系/通用分类标签/植物/草本植物/繁缕,22552,V2融合世界标签体系/通用分类标签/植物/草本植物/繁缕,2,2,1.0
出卖,26168,V2融合世界标签体系/通用分类标签/行为动作/出卖,26171,V2融合世界标签体系/通用分类标签/行为动作/出卖,2,2,1.0
奶酪火锅,28840,V2融合世界标签体系/通用分类标签/食物/一道菜/奶酪火锅,28843,V2融合世界标签体系/通用分类标签/食物/一道菜/奶酪火锅,2,2,1.0
奶,29323,V2融合世界标签体系/通用分类标签/食物/奶,29325,V2融合世界标签体系/通用分类标签/食物/奶,2,2,1.0
饮食,29480,V2融合世界标签体系/通用分类标签/食物/票价/饮食,29483,V2融合世界标签体系/通用分类标签/食物/票价/饮食,2,2,1.0
硬币,31494,V2融合世界标签体系/通用分类标签/时间数量与度量/度量/标准/交换媒介/货币/硬币,31495,V2融合世界标签体系/通用分类标签/时间数量与度量/度量/标准/交换媒介/货币/硬币,2,2,1.0
烟草卷,31821,V2融合世界标签体系/通用分类标签/材料与物质/植物材料/植物产品/烟草/烟草卷,31835,V2融合世界标签体系/通用分类标签/材料与物质/毒品/毒品/烟草/烟草卷,2,2,1.0
城,31988,V2融合世界标签体系/通用分类标签/知识与学科/人口聚居区/市镇/城,31990,V2融合世界标签体系/通用分类标签/知识与学科/人口聚居区/市镇/城,2,2,1.0
城,31988,V2融合世界标签体系/通用分类标签/知识与学科/人口聚居区/市镇/城,32075,V2融合世界标签体系/通用分类标签/知识与学科/地区/行政区/市镇/城,2,2,1.0
城,31988,V2融合世界标签体系/通用分类标签/知识与学科/人口聚居区/市镇/城,32077,V2融合世界标签体系/通用分类标签/知识与学科/地区/行政区/市镇/城,2,2,1.0
城,31990,V2融合世界标签体系/通用分类标签/知识与学科/人口聚居区/市镇/城,32075,V2融合世界标签体系/通用分类标签/知识与学科/地区/行政区/市镇/城,2,2,1.0
城,31990,V2融合世界标签体系/通用分类标签/知识与学科/人口聚居区/市镇/城,32077,V2融合世界标签体系/通用分类标签/知识与学科/地区/行政区/市镇/城,2,2,1.0
城,32075,V2融合世界标签体系/通用分类标签/知识与学科/地区/行政区/市镇/城,32077,V2融合世界标签体系/通用分类标签/知识与学科/地区/行政区/市镇/城,2,2,1.0
出租马车,266,V2融合世界标签体系/通用分类标签/交通工具/畜力与传统载具/马车/出租马车,268,V2融合世界标签体系/通用分类标签/交通工具/畜力与传统载具/马车/出租马车,1,1,1.0
轰炸机,696,V2融合世界标签体系/通用分类标签/交通工具/军用车/军用飞机/轰炸机,988,V2融合世界标签体系/通用分类标签/交通工具/航空器/重于空气航空器/军用飞机/轰炸机,1,1,1.0
轰炸机,696,V2融合世界标签体系/通用分类标签/交通工具/军用车/军用飞机/轰炸机,1001,V2融合世界标签体系/通用分类标签/交通工具/航空器/重于空气航空器/飞机/轰炸机,1,1,1.0
拖车,865,V2融合世界标签体系/通用分类标签/交通工具/拖车,866,V2融合世界标签体系/通用分类标签/交通工具/拖车,1,1,1.0
轰炸机,988,V2融合世界标签体系/通用分类标签/交通工具/航空器/重于空气航空器/军用飞机/轰炸机,1001,V2融合世界标签体系/通用分类标签/交通工具/航空器/重于空气航空器/飞机/轰炸机,1,1,1.0
高性能汽车,1109,V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/自行式车辆/机动车/机动车/高性能汽车,1116,V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/自行式车辆/机动车/高性能汽车,1,1,1.0
半自动手枪,1260,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂/手枪/一件/半自动枪炮/半自动枪械/半自动手枪,1279,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂/手枪/一件/手枪/半自动手枪,1,1,1.0
自动步枪,1271,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂/手枪/一件/半自动枪炮/自动枪/机关枪/自动步枪,1274,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂/手枪/一件/半自动枪炮/自动枪/自动步枪,1,1,1.0
告密者,2113,V2融合世界标签体系/通用分类标签/人物与人体/传播者/告密者,2114,V2融合世界标签体系/通用分类标签/人物与人体/传播者/告密者/告密者,1,1,1.0
元首,2129,V2融合世界标签体系/通用分类标签/人物与人体/传播者/谈判者/代表/国家元首/元首,2795,V2融合世界标签体系/通用分类标签/人物与人体/摇摆者/元首,1,1,1.0
水兵,2395,V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/军事人员群体/水兵,2397,V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/军事人员群体/水兵,1,1,1.0
挣钱者,2454,V2融合世界标签体系/通用分类标签/人物与人体/劳动者/职员/任职者/挣钱者,2768,V2融合世界标签体系/通用分类标签/人物与人体/所有者/容器/任职者/挣钱者,1,1,1.0
大人物,2659,V2融合世界标签体系/通用分类标签/人物与人体/大人/有影响力的人/大人物,2661,V2融合世界标签体系/通用分类标签/人物与人体/大人/有影响力的人/大人物,1,1,1.0
便利设施,7317,V2融合世界标签体系/通用分类标签/人造物体/便利设施,7319,V2融合世界标签体系/通用分类标签/人造物体/便利设施,1,1,1.0
口哨声,7331,V2融合世界标签体系/通用分类标签/人造物体/信号装置/口哨声,8530,V2融合世界标签体系/通用分类标签/人造物体/声学装置/口哨声,1,1,1.0
修枝剪刀,7436,V2融合世界标签体系/通用分类标签/人造物体/切割器具/切削工具/刃具/一把剪刀/大剪刀/修枝剪刀,8352,V2融合世界标签体系/通用分类标签/人造物体/器具/棒/杠杆/复式杠杆/一把剪刀/大剪刀/修枝剪刀,1,1,1.0
动力锤,7509,V2融合世界标签体系/通用分类标签/人造物体/动力工具/动力锤,9622,V2融合世界标签体系/通用分类标签/人造物体/机器/动力工具/动力锤,1,1,1.0
圆形锯,7512,V2融合世界标签体系/通用分类标签/人造物体/动力工具/动力锯/圆形锯,9625,V2融合世界标签体系/通用分类标签/人造物体/机器/动力工具/动力锯/圆形锯,1,1,1.0
单人床,7540,V2融合世界标签体系/通用分类标签/人造物体/卧室家具/床/单人床,7541,V2融合世界标签体系/通用分类标签/人造物体/卧室家具/床/单人床,1,1,1.0
前帆,7618,V2融合世界标签体系/通用分类标签/人造物体/台布/一块布/帆/前帆,7620,V2融合世界标签体系/通用分类标签/人造物体/台布/一块布/帆/前帆,1,1,1.0
浴巾,7641,V2融合世界标签体系/通用分类标签/人造物体/台布/一块布/毛巾/浴巾,8213,V2融合世界标签体系/通用分类标签/人造物体/商品/纺织品/大型白色家电/亚麻制品/浴室亚麻布/浴巾,1,1,1.0
帆布,7696,V2融合世界标签体系/通用分类标签/人造物体/台布/帆布,7697,V2融合世界标签体系/通用分类标签/人造物体/台布/帆布,1,1,1.0
帆布,7696,V2融合世界标签体系/通用分类标签/人造物体/台布/帆布,7699,V2融合世界标签体系/通用分类标签/人造物体/台布/帆布,1,1,1.0
帆布,7697,V2融合世界标签体系/通用分类标签/人造物体/台布/帆布,7699,V2融合世界标签体系/通用分类标签/人造物体/台布/帆布,1,1,1.0
女式衬衫,7855,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/上衣/女式衬衫,10921,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/上衣/女式衬衫,1,1,1.0
乳搭,7859,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/乳搭,7948,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/乳搭,1,1,1.0
乳搭,7859,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/乳搭,10925,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/乳搭,1,1,1.0
乳搭,7859,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/乳搭,11014,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/乳搭,1,1,1.0
女式晨衣,7861,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/女式晨衣,10927,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/女式晨衣,1,1,1.0
习惯,7895,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/习惯,10961,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/习惯,1,1,1.0
假面具,7898,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/伪装/假面具,10857,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/假面具,1,1,1.0
假面具,7898,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/伪装/假面具,10964,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/伪装/假面具,1,1,1.0
服装,7918,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/服装,10984,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/服装,1,1,1.0
运动休闲服,7920,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/运动休闲服,10986,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/运动休闲服,1,1,1.0
男装,7933,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/男装,10999,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/男装,1,1,1.0
休闲长裤套装,7938,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/一套衣服/休闲长裤套装,11004,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/一套衣服/休闲长裤套装,1,1,1.0
乳搭,7948,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/乳搭,10925,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/乳搭,1,1,1.0
乳搭,7948,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/乳搭,11014,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/乳搭,1,1,1.0
半身衬裙,7966,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/半身衬裙,11032,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/半身衬裙,1,1,1.0
束腰,7970,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/地基/束腰,11036,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/地基/束腰,1,1,1.0
厚呢长大衣,7994,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套/厚呢长大衣,11060,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/外套/厚呢长大衣,1,1,1.0
派克大衣,8002,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套/夹克/派克大衣,11068,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/外套/夹克/派克大衣,1,1,1.0
橡皮布防水衣,8022,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套/防水的/橡皮布防水衣,11088,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/外套/防水的/橡皮布防水衣,1,1,1.0
托加长袍,8028,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/披风/托加长袍,11094,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/披风/托加长袍,1,1,1.0
披肩,8030,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/披风/披肩,8031,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/披风/披肩,1,1,1.0
披肩,8030,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/披风/披肩,11096,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/披风/披肩,1,1,1.0
披肩,8030,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/披风/披肩,11097,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/披风/披肩,1,1,1.0
披肩,8031,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/披风/披肩,11096,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/披风/披肩,1,1,1.0
披肩,8031,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/披风/披肩,11097,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/披风/披肩,1,1,1.0
束腰外衣,8034,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/披风/束腰外衣,11100,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/披风/束腰外衣,1,1,1.0
面纱,8041,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/头部覆盖物/面纱,11107,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/头部覆盖物/面纱,1,1,1.0
套头衫,8044,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/套头衫/套头衫,11110,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/套头衫/套头衫,1,1,1.0
抽褶裙,8054,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/女裙/抽褶裙,11120,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/女裙/抽褶裙,1,1,1.0
及膝短裤,8112,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/裤子/及膝短裤,11178,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/裤子/及膝短裤,1,1,1.0
工装裤,8115,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/裤子/工装裤,11181,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/裤子/工装裤,1,1,1.0
蝴蝶结领带,8147,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/颈部服饰/领带/蝴蝶结领带,11213,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/颈部服饰/领带/蝴蝶结领带,1,1,1.0
安全吊带,8152,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/装备/带/安全吊带,10514,V2融合世界标签体系/通用分类标签/人造物体/约束/安全吊带,1,1,1.0
安全吊带,8152,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/装备/带/安全吊带,11218,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/装备/带/安全吊带,1,1,1.0
增压服,8163,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/防护服装/增压服,11229,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/防护服装/增压服,1,1,1.0
颈饰,8195,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/颈饰,11261,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/颈饰,1,1,1.0
牙刷,8243,V2融合世界标签体系/通用分类标签/人造物体/器具/刷/牙刷,9925,V2融合世界标签体系/通用分类标签/人造物体/洗漱用品/牙刷,1,1,1.0
牙刷,8243,V2融合世界标签体系/通用分类标签/人造物体/器具/刷/牙刷,30452,V2融合世界标签体系/通用分类标签/声音/牙刷,1,1,1.0
一把手钳,8356,V2融合世界标签体系/通用分类标签/人造物体/器具/棒/杠杆/复式杠杆/一把手钳,8429,V2融合世界标签体系/通用分类标签/人造物体/固定装置/一把手钳,1,1,1.0
一把手钳,8356,V2融合世界标签体系/通用分类标签/人造物体/器具/棒/杠杆/复式杠杆/一把手钳,9113,V2融合世界标签体系/通用分类标签/人造物体/手工工具/一把手钳,1,1,1.0
清洁垫,8388,V2融合世界标签体系/通用分类标签/人造物体/器具/清洁工具/清洁垫,10580,V2融合世界标签体系/通用分类标签/人造物体/缓冲材料/垫子/清洁垫,1,1,1.0
一把手钳,8429,V2融合世界标签体系/通用分类标签/人造物体/固定装置/一把手钳,9113,V2融合世界标签体系/通用分类标签/人造物体/手工工具/一把手钳,1,1,1.0
塑料袋,8610,V2融合世界标签体系/通用分类标签/人造物体/容器/包/塑料袋,8612,V2融合世界标签体系/通用分类标签/人造物体/容器/包/塑料袋,1,1,1.0
葡萄酒杯,8858,V2融合世界标签体系/通用分类标签/人造物体/容器/杯子/葡萄酒杯,8860,V2融合世界标签体系/通用分类标签/人造物体/容器/杯子/葡萄酒杯,1,1,1.0
手铲,9129,V2融合世界标签体系/通用分类标签/人造物体/手工工具/手铲,9172,V2融合世界标签体系/通用分类标签/人造物体/手工工具/铲/手铲,1,1,1.0
救生背心,9409,V2融合世界标签体系/通用分类标签/人造物体/救援设备/保护者/救生背心,9935,V2融合世界标签体系/通用分类标签/人造物体/浮子/保护者/救生背心,1,1,1.0
卷盘,9509,V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/卷绕器/卷盘,9511,V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/卷绕器/卷盘,1,1,1.0
秋千,9572,V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/秋千,10200,V2融合世界标签体系/通用分类标签/人造物体/玩具/秋千,1,1,1.0
喷墨打印机,9644,V2融合世界标签体系/通用分类标签/人造物体/机器/印刷机/打印机/点式打印机/喷墨打印机,10366,V2融合世界标签体系/通用分类标签/人造物体/电子设备/外围设备/打印机/点式打印机/喷墨打印机,1,1,1.0
牙刷,9925,V2融合世界标签体系/通用分类标签/人造物体/洗漱用品/牙刷,30452,V2融合世界标签体系/通用分类标签/声音/牙刷,1,1,1.0
安全吊带,10514,V2融合世界标签体系/通用分类标签/人造物体/约束/安全吊带,11218,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/装备/带/安全吊带,1,1,1.0
台面,10634,V2融合世界标签体系/通用分类标签/人造物体/表面/工作台面/台面,10635,V2融合世界标签体系/通用分类标签/人造物体/表面/工作台面/台面,1,1,1.0
台面,10634,V2融合世界标签体系/通用分类标签/人造物体/表面/工作台面/台面,10638,V2融合世界标签体系/通用分类标签/人造物体/表面/工作台面/桌面/台面,1,1,1.0
台面,10634,V2融合世界标签体系/通用分类标签/人造物体/表面/工作台面/台面,10647,V2融合世界标签体系/通用分类标签/人造物体/表面/桌面/台面,1,1,1.0
台面,10635,V2融合世界标签体系/通用分类标签/人造物体/表面/工作台面/台面,10638,V2融合世界标签体系/通用分类标签/人造物体/表面/工作台面/桌面/台面,1,1,1.0
台面,10635,V2融合世界标签体系/通用分类标签/人造物体/表面/工作台面/台面,10647,V2融合世界标签体系/通用分类标签/人造物体/表面/桌面/台面,1,1,1.0
台面,10638,V2融合世界标签体系/通用分类标签/人造物体/表面/工作台面/桌面/台面,10647,V2融合世界标签体系/通用分类标签/人造物体/表面/桌面/台面,1,1,1.0
上层甲板,10669,V2融合世界标签体系/通用分类标签/人造物体/表面/水平仪/平台/平台/上层甲板,10670,V2融合世界标签体系/通用分类标签/人造物体/表面/水平仪/平台/平台/上层甲板,1,1,1.0
假面具,10857,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/假面具,10964,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/伪装/假面具,1,1,1.0
乳搭,10925,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/乳搭,11014,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/乳搭,1,1,1.0
